index,x,y,z,roll,pitch,yaw
101,-4.08498,2.96649,1.65417,0.034663, -0.00442015, -0.725586, 0.687243
102,-4.02049,2.96134,1.64919,0.0350292, -0.00367985, -0.663828, 0.747055
103,-3.96166,2.97219,1.6447,0.04199, -0.000208989, -0.618748, 0.784467
104,-3.89002,3.00741,1.63488,0.0482468, -0.00621607, -0.579969, 0.813185
105,-3.8132,3.06137,1.63806,0.062389, -0.0212205, -0.549059, 0.833182
106,-3.75127,3.11343,1.64141,0.0711285, -0.0260009, -0.53386, 0.842175
107,-3.68843,3.14854,1.63774,0.0734378, -0.0221691, -0.513367, 0.854734
108,-3.59429,3.18012,1.62584,0.0775177, -0.00928086, -0.475976, 0.875986
109,-3.50038,3.21407,1.63185,0.0886201, -0.00443467, -0.42689, 0.89994
110,-3.42166,3.24821,1.63681,0.0947219, -0.00680995, -0.376966, 0.921346
111,-3.33764,3.29159,1.63892,0.0936, 0.0080198, -0.308442, 0.946593
112,-3.29209,3.34947,1.64197,0.0912308, 0.0150171, -0.252266, 0.963231
113,-3.26951,3.41442,1.63295,0.0875638, 0.0159413, -0.220246, 0.971375
114,-3.27708,3.48601,1.6355,0.0970048, -0.00720233, -0.193488, 0.976269
115,-3.28692,3.56951,1.64117,0.102649, -0.0203932, -0.164585, 0.980795
116,-3.28811,3.62783,1.65058,0.103371, -0.0173242, -0.125256, 0.986572
117,-3.28691,3.67759,1.65445,0.102363, -0.0156679, -0.0812097, 0.991303
118,-3.27145,3.74081,1.6519,0.097178, -0.0101015, -0.0162886, 0.995082
119,-3.24951,3.8118,1.65257,0.0972938, 0.00121292, 0.0381126, 0.994525
120,-3.2558,3.9025,1.65927,0.102436, 0.0141449, 0.0690771, 0.992237
121,-3.24448,3.99685,1.66969,0.11015, 0.0128554, 0.107847, 0.987963
122,-3.25573,4.05666,1.67859,0.107041, 0.0089409, 0.140783, 0.984196
123,-3.27338,4.13357,1.68497,0.104564, 0.0108683, 0.184486, 0.977197
124,-3.30206,4.1976,1.68942,0.0997029, 0.0134608, 0.208845, 0.97276
125,-3.36403,4.26557,1.69554,0.10616, 0.0138589, 0.229415, 0.967423
126,-3.40958,4.3216,1.71139,0.108982, 0.0163514, 0.254488, 0.960777
127,-3.46065,4.35826,1.7111,0.108692, 0.0141382, 0.291008, 0.950421
128,-3.4977,4.40511,1.72806,0.102253, 0.00938362, 0.347634, 0.931991
129,-3.56058,4.43455,1.72453,0.0900792, 0.00508983, 0.410354, 0.907452
130,-3.6216,4.46913,1.7282,0.0825676, 0.00624946, 0.480018, 0.873342
131,-3.69307,4.51675,1.74183,0.0793586, 0.0169444, 0.545692, 0.834048
132,-3.7618,4.53539,1.74703,0.0775757, 0.013941, 0.593669, 0.80084
133,-3.83658,4.55067,1.7559,0.0693752, 0.0102001, 0.660785, 0.747293
134,-3.89163,4.52783,1.74892,0.0689644, 0.00715951, 0.71455, 0.69614
135,-3.94487,4.49522,1.74655,0.06771, 0.00558877, 0.752223, 0.655397
136,-4.00276,4.46447,1.7416,0.0711304, 0.0110029, 0.77184, 0.63173
137,-4.04936,4.38952,1.73835,0.0771271, 0.0260301, 0.792966, 0.603803
138,-4.08355,4.34323,1.72765,0.0777995, 0.0341816, 0.811047, 0.578776
139,-4.13049,4.30113,1.72813,0.0738363, 0.0282334, 0.836744, 0.541858
140,-4.1818,4.24854,1.71815,0.0721012, 0.0351775, 0.867352, 0.491187
141,-4.26826,4.19695,1.7181,0.0562886, 0.0340901, 0.904335, 0.421719
142,-4.36128,4.14189,1.72974,0.0462171, 0.0445627, 0.929454, 0.363308
143,-4.44302,4.05848,1.72481,0.0389604, 0.0357637, 0.948991, 0.310836
144,-4.48352,3.97652,1.72618,0.036613, 0.0389897, 0.963253, 0.263217
145,-4.50189,3.87334,1.71278,0.0393251, 0.0437696, 0.968485, 0.242021
146,-4.50418,3.75394,1.71123,0.0416803, 0.0472662, 0.974454, 0.215563
147,-4.50612,3.66366,1.70488,0.0356062, 0.0407064, 0.983726, 0.171343
148,-4.51042,3.58528,1.70416,0.0317307, 0.0369161, 0.992159, 0.11511
149,-4.52282,3.49486,1.69332,0.0251859, 0.0299938, 0.998856, 0.0274391
150,-4.52971,3.39476,1.68952,0.00692431, 0.0256044, 0.997144, -0.0707111
151,-4.5316,3.28825,1.6915,-0.00454214, 0.0206534, 0.983499, -0.179676
152,-4.50723,3.22693,1.69082,-0.00903704, 0.0159165, 0.959844, -0.279937
153,-4.47566,3.18417,1.69232,-0.0135478, 0.0121599, 0.934866, -0.354535
154,-4.40842,3.14573,1.67865,-0.01976, 0.0123786, 0.915027, -0.402719
155,-4.33722,3.12369,1.67809,-0.0222403, 0.0242957, 0.904473, -0.425258
156,-4.2536,3.1012,1.66683,-0.0280384, 0.0265909, 0.886759, -0.460614
157,-4.19314,3.08664,1.66261,-0.0289392, 0.0238217, 0.865313, -0.499828
158,-4.13634,3.06582,1.65632,0.0316605, -0.0133233, -0.83649, 0.546904
159,-4.05367,3.03227,1.64973,0.0316257, 0.00523431, -0.793316, 0.607966
160,-3.95583,2.99826,1.64125,0.0370162, 0.0137696, -0.75259, 0.657304
161,-3.86541,2.96868,1.63795,0.0347088, 0.0120844, -0.710762, 0.702471
162,-3.78075,2.96022,1.63461,0.0270046, 0.0223042, -0.657736, 0.752434
