index,x,y,z,roll,pitch,yaw
77,-4.23626,4.85366,0.926813,0.328953, 0.624667, -0.613715, -0.353461
78,-4.25211,4.8429,0.905639,0.328999, 0.624638, -0.613729, -0.353446
79,-4.26816,4.832,0.884187,0.329049, 0.624617, -0.613734, -0.353427
80,-4.28442,4.82097,0.862454,0.329094, 0.624594, -0.61375, -0.353399
81,-4.30087,4.8098,0.840443,0.329135, 0.624586, -0.61375, -0.353376
82,-4.31753,4.79849,0.818153,0.329176, 0.624577, -0.613746, -0.353358
83,-4.33439,4.78704,0.795585,0.329207, 0.624575, -0.613748, -0.353329
84,-4.35145,4.77545,0.772741,0.329239, 0.624564, -0.613757, -0.353305
85,-4.36871,4.76373,0.74962,0.329259, 0.624555, -0.613766, -0.353286
86,-4.38618,4.75186,0.726225,0.329281, 0.624545, -0.613777, -0.353265
87,-4.40385,4.73985,0.702556,0.329306, 0.624535, -0.613796, -0.353227
88,-4.42173,4.72771,0.678613,0.329307, 0.624518, -0.613816, -0.35322
89,-4.43981,4.71542,0.654397,0.329314, 0.624496, -0.613856, -0.353182
90,-4.45809,4.70299,0.629907,0.329317, 0.624487, -0.613889, -0.353138
91,-4.47658,4.69043,0.605143,0.329315, 0.624469, -0.613924, -0.353112
92,-4.49527,4.67772,0.580106,0.329304, 0.624447, -0.613973, -0.353074
93,-4.51417,4.66487,0.554795,0.329274, 0.624428, -0.614016, -0.353063
94,-4.53327,4.65189,0.52921,0.329257, 0.62441, -0.614065, -0.353025
95,-4.55257,4.63876,0.503351,0.329233, 0.624386, -0.614115, -0.353002
96,-4.57208,4.6255,0.477219,0.329198, 0.624366, -0.61416, -0.352992
97,-4.5918,4.6121,0.450812,0.329168, 0.624347, -0.614201, -0.352983
98,-4.61172,4.59856,0.424132,0.329113, 0.624344, -0.614237, -0.352977
99,-4.63184,4.58488,0.397177,0.329044, 0.62434, -0.614272, -0.352987
100,-4.65217,4.57106,0.369948,0.328988, 0.624337, -0.614304, -0.352989
101,-4.67271,4.55711,0.342444,0.328908, 0.624332, -0.61434, -0.353009
102,-4.69345,4.54302,0.314666,0.328827, 0.624337, -0.614376, -0.353014
103,-4.71439,4.52879,0.286613,0.328755, 0.624332, -0.614412, -0.353025
104,-4.73554,4.51442,0.258285,0.328678, 0.62433, -0.614454, -0.35303
105,-4.75689,4.49992,0.229682,0.328606, 0.624324, -0.614495, -0.353034
106,-4.77845,4.48528,0.200804,0.32852, 0.624326, -0.614526, -0.353057
107,-4.80021,4.4705,0.171652,0.328439, 0.624327, -0.614566, -0.353062
108,-4.82218,4.45558,0.142224,0.328366, 0.624321, -0.614599, -0.353082
109,-4.84434,4.44053,0.112521,0.328295, 0.624325, -0.614623, -0.353099
110,-4.86672,4.42535,0.0825418,0.328222, 0.624325, -0.614644, -0.353131
111,-4.8893,4.41002,0.0522874,0.328154, 0.624327, -0.614665, -0.353155
112,-4.91209,4.39457,0.0217569,0.328079, 0.62432, -0.614699, -0.353176
113,-4.93507,4.37897,-0.0090501,0.328027, 0.624329, -0.614717, -0.353178
114,-4.95827,4.36324,-0.0401336,0.327947, 0.624341, -0.61474, -0.35319
115,-4.98167,4.34738,-0.0714942,0.327885, 0.624368, -0.614749, -0.353184
116,-5.00527,4.33137,-0.103132,0.32784, 0.624383, -0.614772, -0.353162
117,-5.02907,4.31523,-0.135048,0.327796, 0.624402, -0.614796, -0.353126
118,-5.05308,4.29895,-0.167241,0.327755, 0.624424, -0.614823, -0.353078
119,-5.07728,4.28254,-0.199712,0.327728, 0.624448, -0.614848, -0.353016
120,-5.10169,4.26599,-0.23246,0.327693, 0.62447, -0.614872, -0.352969
121,-5.12631,4.2493,-0.265486,0.327669, 0.624494, -0.614898, -0.352904
